Americas,Curaçao,Willemstad
Europe,Cyprus,Nicosia
Europe,Czech Republic,Prague
Europe,Denmark,Copenhagen
Africa,Djibouti,Djibouti
Americas,Dominica,Roseau
Americas,Dominican Republic,Santo Domingo
Americas,Ecuador,Quito
Africa,Egypt,Cairo
Americas,El Salvador,San Salvador
Africa,Equatorial Guinea,Malabo
Africa,Eritrea,Asmara
Europe,Estonia,Tallinn
Africa,Ethiopia,Addis Ababa
Americas,Falkland Islands (Malvinas),Stanley
Europe,Faroe Islands,Tórshavn
Oceania,Fiji,Suva
Europe,Finland,Helsinki
Europe,France,Paris
Americas,French Guiana,Cayenne
Oceania,French Polynesia,Papeetē
Africa,French Southern Territories,Port-aux-Français
Africa,Gabon,Libreville
Africa,Gambia,Banjul
Asia,Georgia,Tbilisi
Europe,Germany,Berlin
Africa,Ghana,Accra
Europe,Gibraltar,Gibraltar
Europe,Greece,Athens
Americas,Greenland,Nuuk
Americas,Grenada,St. George's
Americas,Guadeloupe,Basse-Terre
Oceania,Guam,Hagåtña
Americas,Guatemala,Guatemala City
Europe,Guernsey,St. Peter Port
Africa,Guinea,Conakry
Africa,Guinea-Bissau,Bissau
Americas,Guyana,Georgetown
Americas,Haiti,Port-au-Prince
Polar,Heard Island and McDonald Islands,
Europe,Vatican City,Vatican City
Americas,Honduras,Tegucigalpa
Asia,Hong Kong,City of Victoria
Europe,Hungary,Budapest
Europe,Iceland,Reykjavík
Asia,India,New Delhi
Asia,Indonesia,Jakarta
Africa,Côte d'Ivoire,Yamoussoukro
Asia,Iran (Islamic Republic of),Tehran
Asia,Iraq,Baghdad
Europe,Ireland,Dublin
Europe,Isle of Man,Douglas
Asia,Israel,Jerusalem
Europe,Italy,Rome
Americas,Jamaica,Kingston
Asia,Japan,Tokyo
Europe,Jersey,Saint Helier
Asia,Jordan,Amman
Asia,Kazakhstan,Nur-Sultan
Africa,Kenya,Nairobi
Oceania,Kiribati,South Tarawa
Asia,Kuwait,Kuwait City
Asia,Kyrgyzstan,Bishkek
Asia,Lao People's Democratic Republic,Vientiane
Europe,Latvia,Riga
Asia,Lebanon,Beirut
Africa,Lesotho,Maseru
Africa,Liberia,Monrovia
Africa,Libya,Tripoli
Europe,Liechtenstein,Vaduz
Europe,Lithuania,Vilnius
Europe,Luxembourg,Luxembourg
Asia,Macao,
Europe,North Macedonia,Skopje
Africa,Madagascar,Antananarivo
Africa,Malawi,Lilongwe
Asia,Malaysia,Kuala Lumpur
Asia,Maldives,Malé
Africa,Mali,Bamako
Europe,Malta,Valletta
Oceania,Marshall Islands,Majuro
Americas,Martinique,Fort-de-France
Africa,Mauritania,Nouakchott
Africa,Mauritius,Port Louis
Africa,Mayotte,Mamoudzou
Americas,Mexico,Mexico City
Oceania,Micronesia (Federated States of),Palikir
Europe,Moldova (Republic of),Chișinău
Europe,Monaco,Monaco
Asia,Mongolia,Ulan Bator
Europe,Montenegro,Podgorica
Americas,Montserrat,Plymouth
Africa,Morocco,Rabat
Africa,Mozambique,Maputo
Asia,Myanmar,Naypyidaw
Africa,Namibia,Windhoek
Oceania,Nauru,Yaren
Asia,Nepal,Kathmandu
Europe,Netherlands,Amsterdam
Oceania,New Caledonia,Nouméa
Oceania,New Zealand,Wellington
Americas,Nicaragua,Managua
Africa,Niger,Niamey
Africa,Nigeria,Abuja
Oceania,Niue,Alofi
Oceania,Norfolk Island,Kingston
Asia,Korea (Democratic People's Republic of),Pyongyang
Oceania,Northern Mariana Islands,Saipan
Europe,Norway,Oslo
Asia,Oman,Muscat
Asia,Pakistan,Islamabad
Oceania,Palau,Ngerulmud
Asia,Palestine, State of,Ramallah
Americas,Panama,Panama City
Oceania,Papua New Guinea,Port Moresby
Americas,Paraguay,Asunción
Americas,Peru,Lima
Asia,Philippines,Manila
Oceania,Pitcairn,Adamstown
Europe,Poland,Warsaw
Europe,Portugal,Lisbon
Americas,Puerto Rico,San Juan
Asia,Qatar,Doha
Europe,Republic of Kosovo,Pristina
Africa,Réunion,Saint-Denis
Europe,Romania,Bucharest
Europe,Russian Federation,Moscow
Africa,Rwanda,Kigali
Americas,Saint Barthélemy,Gustavia
Africa,Saint Helena, Ascension and Tristan da Cunha,Jamestown
Americas,Saint Kitts and Nevis,Basseterre
Americas,Saint Lucia,Castries
Americas,Saint Martin (French part),Marigot
Americas,Saint Pierre and Miquelon,Saint-Pierre
Americas,Saint Vincent and the Grenadines,Kingstown
Oceania,Samoa,Apia
Europe,San Marino,City of San Marino
Africa,Sao Tome and Principe,São Tomé
Asia,Saudi Arabia,Riyadh
Africa,Senegal,Dakar
Europe,Serbia,Belgrade
Africa,Seychelles,Victoria
Africa,Sierra Leone,Freetown
Asia,Singapore,Singapore
Americas,Sint Maarten (Dutch part),Philipsburg
Europe,Slovakia,Bratislava
Europe,Slovenia,Ljubljana
Oceania,Solomon Islands,Honiara
Africa,Somalia,Mogadishu
Africa,South Africa,Pretoria
Americas,South Georgia and the South Sandwich Islands,King Edward Point
Asia,Korea (Republic of),Seoul
Africa,South Sudan,Juba
Europe,Spain,Madrid
Asia,Sri Lanka,Sri Jayawardenepura Kotte
Africa,Sudan,Khartoum
Americas,Suriname,Paramaribo
Europe,Svalbard and Jan Mayen,Longyearbyen
Africa,Eswatini,Mbabane
Europe,Sweden,Stockholm
Europe,Switzerland,Bern
Asia,Syrian Arab Republic,Damascus
Asia,Taiwan,Taipei
Asia,Tajikistan,Dushanbe
Africa,Tanzania, United Republic of,Dodoma
Asia,Thailand,Bangkok
Asia,Timor-Leste,Dili
Africa,Togo,Lomé
Oceania,Tokelau,Fakaofo
Oceania,Tonga,Nuku'alofa
Americas,Trinidad and Tobago,Port of Spain
Africa,Tunisia,Tunis
Asia,Turkey,Ankara
Asia,Turkmenistan,Ashgabat
Americas,Turks and Caicos Islands,Cockburn Town
Oceania,Tuvalu,Funafuti
Africa,Uganda,Kampala
Europe,Ukraine,Kyiv
Asia,United Arab Emirates,Abu Dhabi
Europe,United Kingdom of Great Britain and Northern Ireland,London
Americas,United States of America,Washington, D.C.
Americas,Uruguay,Montevideo
Asia,Uzbekistan,Tashkent
Oceania,Vanuatu,Port Vila
Americas,Venezuela (Bolivarian Republic of),Caracas
Asia,Vietnam,Hanoi
Oceania,Wallis and Futuna,Mata-Utu
Africa,Western Sahara,El Aaiún
Asia,Yemen,Sana'a
Africa,Zambia,Lusaka
Africa,Zimbabwe,Harare
